Model,Validation Accuracy,Macro Precision,Macro Recall,Macro F1,Macro AUC,Parameters (M),Epochs,Avg Epoch Time (s)
vgg19,0.9939879759519038,0.994071275534403,0.9935823835932571,0.9938177997312636,0.9997865607265961,139.586628,40,111.7254659295082
efficientnet_b0,0.9939879759519038,0.9943598952055669,0.9943598952055669,0.9943598952055669,0.9998213082211085,4.012672,41,25.506340125711954
densenet121,0.9929859719438878,0.9931242488465795,0.9930996127543874,0.9930998409576429,0.9998952359935275,6.957956,23,45.36241820584173
efficientnet_b1,0.9919839679358717,0.9918687202772334,0.9921585003617586,0.9920053927192456,0.9997939208993492,6.518308,26,33.672258477944595
resnet50,0.9869739478957916,0.9868384519050357,0.9876921044875133,0.9872306305292504,0.9995863649806163,23.516228,24,50.38034841418266
efficientnet_b4,0.9839679358717435,0.9846219110991077,0.9841001090924432,0.9843339804230533,0.9993110464932384,17.555788,43,62.35000143494717
